Rk,Player,HR,Season,Age,Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,Pos,Player-additional
1,Matt Olson,54,2023,29,ATL,NL,162,720,608,127,172,88,27,3,54,139,1,0,104,167,.283,.389,.604,.993,164,367,13,4,0,4,8,*3,olsonma02
2,Kyle Schwarber,47,2023,30,PHI,NL,160,720,585,108,115,48,19,1,47,104,0,2,126,215,.197,.343,.474,.817,121,277,4,6,0,3,5,7D,schwaky01
3,Pete Alonso,46,2023,28,NYM,NL,154,658,568,92,123,54,21,2,46,118,4,1,65,151,.217,.318,.504,.821,123,286,17,21,0,4,6,*3/D,alonspe01
4,Shohei Ohtani,44,2023,28,LAA,AL,135,599,497,102,151,73,26,8,44,95,20,6,91,143,.304,.412,.654,1.066,185,325,9,3,0,3,21,*D1,ohtansh01
5,Ronald Acuña Jr.,41,2023,25,ATL,NL,159,735,643,149,217,137,35,4,41,106,73,14,80,84,.337,.416,.596,1.012,171,383,15,9,0,3,3,*9/D,acunaro01
6,Marcell Ozuna,40,2023,32,ATL,NL,144,592,530,84,145,75,29,1,40,100,0,0,57,134,.274,.346,.558,.905,140,296,9,3,0,2,1,*D/7H,ozunama01
7,Mookie Betts,39,2023,30,LAD,NL,152,693,584,126,179,99,40,1,39,107,14,3,96,107,.307,.408,.579,.987,165,338,5,8,0,5,3,946/H,bettsmo01
8,Adolis García,39,2023,30,TEX,AL,148,632,555,108,136,68,29,0,39,107,9,1,65,175,.245,.328,.508,.836,127,282,12,6,0,6,0,*9/8DH,garciad02
9,Luis Robert Jr.,38,2023,25,CHW,AL,145,595,546,90,144,69,36,1,38,80,20,4,30,172,.264,.315,.542,.857,130,296,10,12,0,2,5,*8/H,roberlu01
10,Aaron Judge,37,2023,31,NYY,AL,106,458,367,79,98,45,16,0,37,75,3,1,88,130,.267,.406,.613,1.019,175,225,5,0,0,3,9,9D8/H,judgeaa01
11,Austin Riley,37,2023,26,ATL,NL,159,715,636,117,179,107,32,3,37,97,3,1,59,172,.281,.345,.516,.861,130,328,18,9,0,11,4,*5,rileyau01
12,Max Muncy,36,2023,32,LAD,NL,135,579,482,95,102,48,17,1,36,105,1,2,85,153,.212,.333,.475,.808,117,229,8,6,0,6,4,*5D/H,muncyma01
13,Jorge Soler,36,2023,31,MIA,NL,137,580,504,77,126,66,24,0,36,75,1,0,66,141,.250,.341,.512,.853,123,258,20,6,0,4,4,D9/H,solerjo01
14,Juan Soto,35,2023,24,SDP,NL,162,708,568,97,156,88,32,1,35,109,12,5,132,129,.275,.410,.519,.930,155,295,18,2,1,5,11,*7/DH,sotoju01
15,Jake Burger,34,2023,27,CHWMIA,ALNL,141,540,492,71,123,60,28,1,34,80,1,1,32,149,.250,.309,.518,.828,119,255,4,12,0,4,0,5D/H34,burgeja01
16,Ozzie Albies,33,2023,26,ATL,NL,148,660,596,96,167,99,30,5,33,109,13,1,46,107,.280,.336,.513,.849,126,306,9,8,0,8,2,*4,albieoz01
17,Rafael Devers,33,2023,26,BOS,AL,153,656,580,90,157,90,34,0,33,100,5,1,62,126,.271,.351,.500,.851,126,290,15,11,0,3,10,*5/DH6,deverra01
18,J.D. Martinez,33,2023,35,LAD,NL,113,479,432,61,117,55,27,2,33,103,1,0,34,149,.271,.321,.572,.893,136,247,11,2,0,9,1,*D/7H,martijd02
